totalRuntime,timeSliceValue,contextSwitchValue,
4919,15,1,
processID,timeTaken,timeCompleted,
1, 1, 1,
2, 2, 3,
3, 3, 6,
4, 4, 10,
5, 5, 15,
6, 6, 21,
7, 8, 29,
8, 9, 38,
9, 10, 48,
10, 12, 60,
11, 15, 75,
12, 1425, 1500,
13, 1414, 1505,
14, 1406, 1513,
15, 1399, 1522,
16, 1393, 1532,
17, 1389, 1544,
18, 1386, 1557,
19, 1385, 1572,
20, 1384, 1587,
21, 2649, 2868,
22, 2635, 2870,
23, 2622, 2873,
24, 2610, 2877,
25, 2599, 2882,
26, 2589, 2888,
27, 2580, 2895,
28, 2571, 2902,
29, 2563, 2910,
30, 2556, 2919,
31, 2549, 2928,
32, 2543, 2938,
33, 2537, 2948,
34, 2532, 2959,
35, 2527, 2970,
36, 2523, 2982,
37, 2519, 2994,
38, 2515, 3006,
39, 2512, 3019,
40, 2509, 3032,
41, 2507, 3046,
42, 2505, 3060,
43, 2504, 3075,
44, 2503, 3090,
45, 3384, 3987,
46, 3369, 3988,
47, 3354, 3989,
48, 3340, 3991,
49, 3326, 3993,
50, 3312, 3995,
51, 3299, 3998,
52, 3286, 4001,
53, 3274, 4005,
54, 3262, 4009,
55, 3251, 4014,
56, 3240, 4019,
57, 3229, 4024,
58, 3219, 4030,
59, 3209, 4036,
60, 3200, 4043,
61, 3191, 4050,
62, 3183, 4058,
63, 3175, 4066,
64, 3168, 4075,
65, 3161, 4084,
66, 3155, 4094,
67, 3149, 4104,
68, 3143, 4114,
69, 3138, 4125,
70, 3133, 4136,
71, 3129, 4148,
72, 3125, 4160,
73, 3122, 4173,
74, 3119, 4186,
75, 3117, 4200,
76, 3115, 4214,
77, 3114, 4229,
78, 3113, 4244,
79, 3450, 4597,
80, 3436, 4599,
81, 3423, 4602,
82, 3411, 4606,
83, 3399, 4610,
84, 3388, 4615,
85, 3378, 4621,
86, 3369, 4628,
87, 3361, 4636,
88, 3354, 4645,
89, 3348, 4655,
90, 3343, 4666,
91, 3339, 4678,
92, 3337, 4692,
93, 3450, 4821,
94, 3438, 4825,
95, 3427, 4830,
96, 3419, 4838,
97, 3418, 4853,
98, 3452, 4903,
99, 3442, 4909,
100, 3436, 4919,
