totalRuntime,timeSliceValue,contextSwitchValue,
9222,1,1,
processID,timeTaken,timeCompleted,
1, 1, 1,
2, 199, 200,
3, 394, 397,
4, 587, 592,
5, 778, 785,
6, 967, 976,
7, 1342, 1353,
8, 1527, 1540,
9, 1710, 1725,
10, 2073, 2090,
11, 2612, 2631,
12, 2789, 2810,
13, 3492, 3515,
14, 4013, 4038,
15, 4184, 4211,
16, 4353, 4382,
17, 4688, 4719,
18, 4853, 4886,
19, 5180, 5215,
20, 5179, 5216,
21, 5338, 5377,
22, 5495, 5536,
23, 5650, 5693,
24, 5803, 5848,
25, 5954, 6001,
26, 6103, 6152,
27, 6250, 6301,
28, 6249, 6302,
29, 6392, 6447,
30, 6533, 6590,
31, 6532, 6591,
32, 6669, 6730,
33, 6668, 6731,
34, 6801, 6866,
35, 6800, 6867,
36, 6929, 6998,
37, 6928, 6999,
38, 6927, 7000,
39, 7050, 7125,
40, 7049, 7126,
41, 7168, 7247,
42, 7167, 7248,
43, 7282, 7365,
44, 7281, 7366,
45, 7392, 7479,
46, 7391, 7480,
47, 7390, 7481,
48, 7495, 7588,
49, 7494, 7589,
50, 7493, 7590,
51, 7592, 7691,
52, 7591, 7692,
53, 7686, 7789,
54, 7685, 7790,
55, 7776, 7883,
56, 7775, 7884,
57, 7774, 7885,
58, 7859, 7972,
59, 7858, 7973,
60, 7939, 8056,
61, 7938, 8057,
62, 8015, 8136,
63, 8014, 8137,
64, 8087, 8212,
65, 8086, 8213,
66, 8155, 8284,
67, 8154, 8285,
68, 8153, 8286,
69, 8216, 8351,
70, 8215, 8352,
71, 8274, 8413,
72, 8273, 8414,
73, 8328, 8471,
74, 8327, 8472,
75, 8378, 8525,
76, 8377, 8526,
77, 8424, 8575,
78, 8423, 8576,
79, 8466, 8621,
80, 8507, 8664,
81, 8546, 8705,
82, 8583, 8744,
83, 8582, 8745,
84, 8615, 8780,
85, 8646, 8813,
86, 8675, 8844,
87, 8702, 8873,
88, 8727, 8900,
89, 8750, 8925,
90, 8771, 8948,
91, 8790, 8969,
92, 8825, 9006,
93, 8856, 9039,
94, 8897, 9082,
95, 8908, 9095,
96, 8937, 9126,
97, 8992, 9183,
98, 9003, 9196,
99, 9018, 9213,
100, 9025, 9222,
