totalRuntime,timeSliceValue,contextSwitchValue,
5531,5,1,
processID,timeTaken,timeCompleted,
1, 1, 1,
2, 2, 3,
3, 3, 6,
4, 4, 10,
5, 5, 15,
6, 571, 586,
7, 568, 589,
8, 566, 593,
9, 565, 598,
10, 1107, 1146,
11, 1106, 1151,
12, 1635, 1686,
13, 1634, 1691,
14, 2153, 2216,
15, 2151, 2220,
16, 2150, 2225,
17, 2650, 2731,
18, 2647, 2734,
19, 2646, 2739,
20, 2645, 2744,
21, 3120, 3225,
22, 3116, 3227,
23, 3113, 3230,
24, 3111, 3234,
25, 3110, 3239,
26, 3555, 3690,
27, 3551, 3692,
28, 3547, 3694,
29, 3544, 3697,
30, 3542, 3701,
31, 3540, 3705,
32, 3539, 3710,
33, 3538, 3715,
34, 3935, 4118,
35, 3930, 4119,
36, 3926, 4121,
37, 3922, 4123,
38, 3918, 4125,
39, 3915, 4128,
40, 3912, 4131,
41, 3910, 4135,
42, 3908, 4139,
43, 3907, 4144,
44, 3906, 4149,
45, 4237, 4486,
46, 4232, 4487,
47, 4227, 4488,
48, 4223, 4490,
49, 4219, 4492,
50, 4215, 4494,
51, 4212, 4497,
52, 4209, 4500,
53, 4207, 4504,
54, 4205, 4508,
55, 4204, 4513,
56, 4203, 4518,
57, 4202, 4523,
58, 4455, 4782,
59, 4450, 4783,
60, 4446, 4785,
61, 4442, 4787,
62, 4439, 4790,
63, 4436, 4793,
64, 4434, 4797,
65, 4432, 4801,
66, 4431, 4806,
67, 4430, 4811,
68, 4429, 4816,
69, 4616, 5009,
70, 4611, 5010,
71, 4607, 5012,
72, 4603, 5014,
73, 4600, 5017,
74, 4597, 5020,
75, 4595, 5024,
76, 4593, 5028,
77, 4592, 5033,
78, 4591, 5038,
79, 4718, 5171,
80, 4714, 5173,
81, 4711, 5176,
82, 4709, 5180,
83, 4707, 5184,
84, 4706, 5189,
85, 4797, 5286,
86, 4793, 5288,
87, 4790, 5291,
88, 4788, 5295,
89, 4787, 5300,
90, 4848, 5367,
91, 4844, 5369,
92, 4842, 5373,
93, 4885, 5422,
94, 4883, 5426,
95, 4882, 5431,
96, 4909, 5464,
97, 4932, 5493,
98, 4946, 5513,
99, 4953, 5526,
100, 4952, 5531,
