totalRuntime,timeSliceValue,contextSwitchValue,
4796,25,1,
processID,timeTaken,timeCompleted,
1, 1, 1,
2, 2, 3,
3, 3, 6,
4, 4, 10,
5, 5, 15,
6, 6, 21,
7, 8, 29,
8, 9, 38,
9, 10, 48,
10, 12, 60,
11, 15, 75,
12, 16, 91,
13, 20, 111,
14, 23, 134,
15, 24, 158,
16, 25, 183,
17, 2186, 2369,
18, 2163, 2372,
19, 2142, 2377,
20, 2121, 2382,
21, 2101, 2388,
22, 2082, 2395,
23, 2064, 2403,
24, 2047, 2412,
25, 2031, 2422,
26, 2016, 2433,
27, 2002, 2445,
28, 1988, 2457,
29, 1975, 2470,
30, 1963, 2484,
31, 1951, 2498,
32, 1940, 2513,
33, 1929, 2528,
34, 1919, 2544,
35, 1909, 2560,
36, 1900, 2577,
37, 1891, 2594,
38, 1882, 2611,
39, 1874, 2629,
40, 1866, 2647,
41, 1859, 2666,
42, 1852, 2685,
43, 1846, 2705,
44, 1840, 2725,
45, 1835, 2746,
46, 1830, 2767,
47, 1825, 2788,
48, 1821, 2810,
49, 1817, 2832,
50, 1813, 2854,
51, 1810, 2877,
52, 1807, 2900,
53, 1805, 2924,
54, 1803, 2948,
55, 1802, 2973,
56, 1801, 2998,
57, 1800, 3023,
58, 2893, 4142,
59, 2868, 4143,
60, 2844, 4145,
61, 2820, 4147,
62, 2797, 4150,
63, 2774, 4153,
64, 2752, 4157,
65, 2730, 4161,
66, 2709, 4166,
67, 2688, 4171,
68, 2667, 4176,
69, 2647, 4182,
70, 2627, 4188,
71, 2608, 4195,
72, 2589, 4202,
73, 2571, 4210,
74, 2553, 4218,
75, 2536, 4227,
76, 2519, 4236,
77, 2503, 4246,
78, 2487, 4256,
79, 2472, 4267,
80, 2458, 4279,
81, 2445, 4292,
82, 2433, 4306,
83, 2421, 4320,
84, 2410, 4335,
85, 2400, 4351,
86, 2391, 4368,
87, 2383, 4386,
88, 2376, 4405,
89, 2370, 4425,
90, 2365, 4446,
91, 2361, 4468,
92, 2359, 4492,
93, 2542, 4701,
94, 2520, 4705,
95, 2499, 4710,
96, 2481, 4718,
97, 2470, 4733,
98, 2461, 4750,
99, 2456, 4771,
100, 2455, 4796,
