totalRuntime,timeSliceValue,contextSwitchValue,
6148,3,1,
processID,timeTaken,timeCompleted,
1, 1, 1,
2, 2, 3,
3, 3, 6,
4, 389, 395,
5, 387, 397,
6, 386, 400,
7, 760, 778,
8, 759, 781,
9, 1124, 1150,
10, 1123, 1153,
11, 1482, 1516,
12, 1835, 1873,
13, 2185, 2227,
14, 2531, 2577,
15, 2530, 2580,
16, 2867, 2921,
17, 2866, 2924,
18, 3195, 3257,
19, 3194, 3260,
20, 3193, 3263,
21, 3510, 3584,
22, 3508, 3586,
23, 3507, 3589,
24, 3812, 3898,
25, 3810, 3900,
26, 3809, 3903,
27, 4102, 4200,
28, 4099, 4201,
29, 4097, 4203,
30, 4096, 4206,
31, 4095, 4209,
32, 4368, 4486,
33, 4365, 4487,
34, 4363, 4489,
35, 4361, 4491,
36, 4360, 4494,
37, 4359, 4497,
38, 4358, 4500,
39, 4603, 4749,
40, 4600, 4750,
41, 4598, 4752,
42, 4596, 4754,
43, 4595, 4757,
44, 4594, 4760,
45, 4815, 4985,
46, 4812, 4986,
47, 4809, 4987,
48, 4807, 4989,
49, 4805, 4991,
50, 4803, 4993,
51, 4802, 4996,
52, 4801, 4999,
53, 4990, 5192,
54, 4987, 5193,
55, 4985, 5195,
56, 4983, 5197,
57, 4981, 5199,
58, 4980, 5202,
59, 4979, 5205,
60, 5140, 5370,
61, 5137, 5371,
62, 5135, 5373,
63, 5133, 5375,
64, 5132, 5378,
65, 5131, 5381,
66, 5268, 5522,
67, 5265, 5523,
68, 5262, 5524,
69, 5260, 5526,
70, 5258, 5528,
71, 5257, 5531,
72, 5256, 5534,
73, 5365, 5647,
74, 5362, 5648,
75, 5360, 5650,
76, 5358, 5652,
77, 5357, 5655,
78, 5356, 5658,
79, 5441, 5747,
80, 5439, 5749,
81, 5438, 5752,
82, 5511, 5829,
83, 5508, 5830,
84, 5506, 5832,
85, 5505, 5835,
86, 5562, 5896,
87, 5560, 5898,
88, 5559, 5901,
89, 5604, 5950,
90, 5602, 5952,
91, 5601, 5955,
92, 5635, 5993,
93, 5664, 6026,
94, 5689, 6055,
95, 5687, 6057,
96, 5705, 6079,
97, 5736, 6114,
98, 5746, 6128,
99, 5753, 6139,
100, 5758, 6148,
