totalRuntime,timeSliceValue,contextSwitchValue,
6914,2,1,
processID,timeTaken,timeCompleted,
1, 1, 1,
2, 2, 3,
3, 295, 298,
4, 294, 300,
5, 580, 589,
6, 579, 591,
7, 860, 875,
8, 1137, 1155,
9, 1136, 1157,
10, 1408, 1432,
11, 1946, 1973,
12, 1945, 1975,
13, 2472, 2505,
14, 2992, 3028,
15, 2991, 3030,
16, 3244, 3286,
17, 3494, 3539,
18, 3493, 3541,
19, 3738, 3789,
20, 3737, 3791,
21, 3975, 4032,
22, 3974, 4034,
23, 4206, 4269,
24, 4205, 4271,
25, 4431, 4500,
26, 4430, 4502,
27, 4650, 4725,
28, 4648, 4726,
29, 4647, 4728,
30, 4858, 4942,
31, 4856, 4943,
32, 4855, 4945,
33, 4854, 4947,
34, 5053, 5149,
35, 5051, 5150,
36, 5050, 5152,
37, 5049, 5154,
38, 5048, 5156,
39, 5232, 5343,
40, 5230, 5344,
41, 5229, 5346,
42, 5228, 5348,
43, 5400, 5523,
44, 5398, 5524,
45, 5397, 5526,
46, 5396, 5528,
47, 5395, 5530,
48, 5552, 5690,
49, 5550, 5691,
50, 5548, 5692,
51, 5547, 5694,
52, 5546, 5696,
53, 5688, 5841,
54, 5686, 5842,
55, 5685, 5844,
56, 5684, 5846,
57, 5683, 5848,
58, 5810, 5978,
59, 5808, 5979,
60, 5807, 5981,
61, 5806, 5983,
62, 5921, 6101,
63, 5919, 6102,
64, 5918, 6104,
65, 5917, 6106,
66, 6020, 6212,
67, 6018, 6213,
68, 6016, 6214,
69, 6015, 6216,
70, 6014, 6218,
71, 6102, 6309,
72, 6100, 6310,
73, 6099, 6312,
74, 6098, 6314,
75, 6174, 6393,
76, 6172, 6394,
77, 6171, 6396,
78, 6170, 6398,
79, 6234, 6465,
80, 6233, 6467,
81, 6291, 6528,
82, 6290, 6530,
83, 6289, 6532,
84, 6338, 6584,
85, 6337, 6586,
86, 6380, 6632,
87, 6379, 6634,
88, 6416, 6674,
89, 6415, 6676,
90, 6446, 6710,
91, 6445, 6712,
92, 6471, 6741,
93, 6494, 6767,
94, 6534, 6810,
95, 6533, 6812,
96, 6561, 6843,
97, 6596, 6881,
98, 6604, 6892,
99, 6615, 6906,
100, 6620, 6914,
