totalRuntime,timeSliceValue,contextSwitchValue,
5070,10,1,
processID,timeTaken,timeCompleted,
1, 1, 1,
2, 2, 3,
3, 3, 6,
4, 4, 10,
5, 5, 15,
6, 6, 21,
7, 8, 29,
8, 9, 38,
9, 10, 48,
10, 1003, 1051,
11, 997, 1056,
12, 992, 1062,
13, 991, 1072,
14, 1940, 2032,
15, 1933, 2036,
16, 1927, 2041,
17, 1923, 2048,
18, 1920, 2056,
19, 1919, 2066,
20, 1918, 2076,
21, 2788, 2957,
22, 2779, 2959,
23, 2771, 2962,
24, 2764, 2966,
25, 2758, 2971,
26, 2753, 2977,
27, 2749, 2984,
28, 2745, 2991,
29, 2742, 2999,
30, 2740, 3008,
31, 2738, 3017,
32, 2737, 3027,
33, 2736, 3037,
34, 3463, 3775,
35, 3453, 3776,
36, 3444, 3778,
37, 3435, 3780,
38, 3426, 3782,
39, 3418, 3785,
40, 3410, 3788,
41, 3403, 3792,
42, 3396, 3796,
43, 3390, 3801,
44, 3384, 3806,
45, 3379, 3812,
46, 3374, 3818,
47, 3369, 3824,
48, 3365, 3831,
49, 3361, 3838,
50, 3357, 3845,
51, 3354, 3853,
52, 3351, 3861,
53, 3349, 3870,
54, 3347, 3879,
55, 3346, 3889,
56, 3345, 3899,
57, 3344, 3909,
58, 3807, 4383,
59, 3797, 4384,
60, 3788, 4386,
61, 3779, 4388,
62, 3771, 4391,
63, 3763, 4394,
64, 3756, 4398,
65, 3749, 4402,
66, 3743, 4407,
67, 3737, 4412,
68, 3731, 4417,
69, 3726, 4423,
70, 3721, 4429,
71, 3717, 4436,
72, 3713, 4443,
73, 3710, 4451,
74, 3707, 4459,
75, 3705, 4468,
76, 3703, 4477,
77, 3702, 4487,
78, 3701, 4497,
79, 3933, 4740,
80, 3924, 4742,
81, 3916, 4745,
82, 3909, 4749,
83, 3902, 4753,
84, 3896, 4758,
85, 3891, 4764,
86, 3887, 4771,
87, 3884, 4779,
88, 3882, 4788,
89, 3881, 4798,
90, 3992, 4920,
91, 3983, 4922,
92, 3976, 4926,
93, 3971, 4932,
94, 3969, 4941,
95, 3968, 4951,
96, 4015, 5009,
97, 4014, 5019,
98, 4038, 5054,
99, 4033, 5060,
100, 4032, 5070,
