totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
1076,1010,50,2,33,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,
3,27,29,2,1,
10,42,125,83,3,
17,5,184,179,5,
4,56,244,31,7,
16,54,250,127,8,
25,52,254,186,9,
6,50,306,256,10,
8,47,355,308,11,
9,8,365,357,12,
19,1,368,367,13,
24,40,462,422,15,
21,80,494,370,16,
2,49,545,496,17,
12,2,653,651,20,
15,36,691,655,21,
18,10,703,693,22,
22,45,750,705,23,
5,60,762,547,24,
11,75,789,599,25,
1,32,823,791,26,
7,48,873,825,27,
14,3,930,927,29,
23,24,1008,984,31,
13,64,1024,875,32,
20,100,1076,932,33,
