totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
1232,1010,10,2,111,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,
17,5,55,50,5,
3,27,136,2,12,
10,42,248,26,22,
4,56,280,14,25,
16,54,286,38,26,
25,52,290,57,27,
9,8,324,316,30,
19,1,327,326,31,
24,40,495,341,45,
6,50,507,292,46,
8,47,516,304,47,
21,80,564,329,51,
12,2,604,602,55,
18,10,628,618,57,
15,36,804,606,72,
2,49,827,566,74,
22,45,858,630,77,
5,60,870,578,78,
11,75,901,590,81,
14,3,942,939,85,
23,24,1080,956,97,
1,32,1084,903,98,
7,48,1130,915,102,
13,64,1184,927,107,
20,100,1232,944,111,
