totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
1170,1010,15,2,80,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,
17,5,75,70,5,
3,27,106,2,7,
10,42,205,36,13,
4,56,252,19,16,
16,54,263,53,17,
25,52,272,77,18,
9,8,316,308,21,
19,1,319,318,22,
24,40,484,338,32,
6,50,491,274,33,
8,47,495,291,34,
21,80,536,321,37,
12,2,591,589,41,
18,10,620,610,43,
15,36,781,593,53,
22,45,798,622,54,
2,49,804,538,55,
5,60,821,555,56,
11,75,855,572,58,
14,3,911,908,62,
23,24,1024,930,69,
1,32,1028,857,70,
7,48,1084,874,74,
13,64,1124,891,77,
20,100,1170,913,80,
