totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
1076,1010,50,2,33,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,TAT,NTAT,
1,32,34,2,1,34.00,1.06,
2,49,85,36,2,85.00,1.73,
3,27,114,87,3,114.00,4.22,
6,50,270,220,6,270.00,5.40,
7,48,320,272,7,320.00,6.67,
8,47,369,322,8,369.00,7.85,
9,8,379,371,9,379.00,47.38,
10,42,423,381,10,423.00,10.07,
12,2,479,477,12,479.00,239.50,
14,3,536,533,14,536.00,178.67,
15,36,574,538,15,574.00,15.94,
17,5,633,628,17,633.00,126.60,
18,10,645,635,18,645.00,64.50,
19,1,648,647,19,648.00,648.00,
22,45,799,754,22,799.00,17.76,
23,24,825,801,23,825.00,34.38,
24,40,867,827,24,867.00,21.68,
4,56,927,116,26,927.00,16.55,
5,60,939,168,27,939.00,15.65,
11,75,966,425,28,966.00,12.88,
13,64,982,481,29,982.00,15.34,
16,54,988,576,30,988.00,18.30,
20,100,1040,650,31,1040.00,10.40,
21,80,1072,702,32,1072.00,13.40,
25,52,1076,869,33,1076.00,20.69,
