totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
3030,1010,1,2,1010,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,TAT,NTAT,
19,1,57,56,19,57.00,57.00,
12,2,111,35,37,111.00,55.50,
14,3,186,41,62,186.00,62.00,
17,5,327,50,109,327.00,65.40,
9,8,501,26,167,501.00,62.63,
18,10,639,53,213,639.00,63.90,
23,24,1449,68,483,1449.00,60.38,
3,27,1572,8,524,1572.00,58.22,
1,32,1824,2,608,1824.00,57.00,
15,36,2046,44,682,2046.00,56.83,
24,40,2241,71,747,2241.00,56.03,
10,42,2307,29,769,2307.00,54.93,
22,45,2442,65,814,2442.00,54.27,
8,47,2499,23,833,2499.00,53.17,
7,48,2532,20,844,2532.00,52.75,
2,49,2553,5,851,2553.00,52.10,
6,50,2589,17,863,2589.00,51.78,
25,52,2655,74,885,2655.00,51.06,
16,54,2691,47,897,2691.00,49.83,
4,56,2718,11,906,2718.00,48.54,
5,60,2781,14,927,2781.00,46.35,
13,64,2835,38,945,2835.00,44.30,
11,75,2934,32,978,2934.00,39.12,
21,80,2970,62,990,2970.00,37.13,
20,100,3030,59,1010,3030.00,30.30,
