totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
1430,1010,5,2,210,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,TAT,NTAT,
12,2,81,79,12,81.00,40.50,
14,3,93,90,14,93.00,31.00,
17,5,114,109,17,114.00,22.80,
19,1,124,123,19,124.00,124.00,
9,8,227,58,34,227.00,28.38,
18,10,269,116,40,269.00,26.90,
23,24,695,147,101,695.00,28.96,
3,27,727,16,106,727.00,26.93,
1,32,836,2,122,836.00,26.13,
15,36,1014,95,148,1014.00,28.17,
24,40,1049,154,153,1049.00,26.23,
10,42,1102,65,161,1102.00,26.24,
22,45,1144,140,167,1144.00,25.42,
2,49,1157,9,169,1157.00,23.61,
6,50,1178,37,172,1178.00,23.56,
7,48,1183,44,173,1183.00,24.65,
8,47,1187,51,174,1187.00,25.26,
16,54,1263,102,185,1263.00,23.39,
25,52,1281,161,188,1281.00,24.63,
4,56,1284,23,189,1284.00,22.93,
5,60,1291,30,190,1291.00,21.52,
13,64,1332,83,196,1332.00,20.81,
11,75,1374,72,202,1374.00,18.32,
21,80,1402,133,206,1402.00,17.53,
20,100,1430,126,210,1430.00,14.30,
