totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
2028,1010,2,2,509,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,TAT,NTAT,
12,2,48,46,12,48.00,24.00,
19,1,75,74,19,75.00,75.00,
14,3,150,54,38,150.00,50.00,
17,5,249,66,63,249.00,49.80,
9,8,313,34,79,313.00,39.13,
18,10,417,70,105,417.00,41.70,
23,24,965,89,242,965.00,40.21,
3,27,1056,10,265,1056.00,39.11,
1,32,1188,2,298,1188.00,37.13,
15,36,1356,58,340,1356.00,37.67,
24,40,1496,93,375,1496.00,37.40,
10,42,1528,38,383,1528.00,36.38,
22,45,1655,85,415,1655.00,36.78,
7,48,1679,26,421,1679.00,34.98,
8,47,1682,30,422,1682.00,35.79,
2,49,1709,6,429,1709.00,34.88,
6,50,1721,22,432,1721.00,34.42,
25,52,1777,97,446,1777.00,34.17,
16,54,1797,62,451,1797.00,33.28,
4,56,1809,14,454,1809.00,32.30,
5,60,1853,18,465,1853.00,30.88,
13,64,1893,50,475,1893.00,29.58,
11,75,1964,42,493,1964.00,26.19,
21,80,1988,81,499,1988.00,24.85,
20,100,2028,77,509,2028.00,20.28,
