totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
1170,1010,15,2,80,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,TAT,NTAT,
9,8,146,138,9,146.00,18.25,
12,2,184,182,12,184.00,92.00,
14,3,206,203,14,206.00,68.67,
17,5,247,242,17,247.00,49.40,
18,10,259,249,18,259.00,25.90,
19,1,262,261,19,262.00,262.00,
3,27,412,36,28,412.00,15.26,
23,24,644,315,42,644.00,26.83,
1,32,682,2,45,682.00,21.31,
10,42,798,148,52,798.00,19.00,
15,36,840,208,55,840.00,23.33,
22,45,908,298,59,908.00,20.18,
24,40,920,332,60,920.00,23.00,
2,49,943,19,62,943.00,19.24,
4,56,956,53,63,956.00,17.07,
5,60,973,70,64,973.00,16.22,
6,50,980,87,65,980.00,19.60,
7,48,985,104,66,985.00,20.52,
8,47,989,121,67,989.00,21.04,
16,54,1034,225,70,1034.00,19.15,
25,52,1077,349,73,1077.00,20.71,
11,75,1094,165,74,1094.00,14.59,
13,64,1100,186,75,1100.00,17.19,
21,80,1158,281,79,1158.00,14.48,
20,100,1170,264,80,1170.00,11.70,
