totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
1116,1010,25,2,53,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,TAT,NTAT,
9,8,226,218,9,226.00,28.25,
12,2,284,282,12,284.00,142.00,
14,3,316,313,14,316.00,105.33,
17,5,377,372,17,377.00,75.40,
18,10,389,379,18,389.00,38.90,
19,1,392,391,19,392.00,392.00,
23,24,499,475,23,499.00,20.79,
1,32,562,2,26,562.00,17.56,
2,49,588,29,27,588.00,12.00,
3,27,592,56,28,592.00,21.93,
6,50,673,137,31,673.00,13.46,
7,48,698,164,32,698.00,14.54,
8,47,722,191,33,722.00,15.36,
10,42,741,228,34,741.00,17.64,
15,36,808,318,37,808.00,22.44,
22,45,911,448,41,911.00,20.24,
24,40,928,501,42,928.00,23.20,
4,56,963,83,44,963.00,17.20,
5,60,975,110,45,975.00,16.25,
11,75,1002,255,46,1002.00,13.36,
13,64,1018,286,47,1018.00,15.91,
16,54,1024,345,48,1024.00,18.96,
25,52,1082,528,51,1082.00,20.81,
20,100,1109,394,52,1109.00,11.09,
21,80,1116,421,53,1116.00,13.95,
