totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
1232,1010,10,2,111,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,TAT,NTAT,
9,8,106,98,9,106.00,13.25,
12,2,134,132,12,134.00,67.00,
14,3,151,148,14,151.00,50.33,
17,5,182,177,17,182.00,36.40,
18,10,194,184,18,194.00,19.40,
19,1,197,196,19,197.00,197.00,
3,27,530,26,47,530.00,19.63,
23,24,692,235,61,692.00,28.83,
1,32,720,2,64,720.00,22.50,
15,36,836,153,74,836.00,23.22,
24,40,896,247,79,896.00,22.40,
2,49,919,14,81,919.00,18.76,
6,50,955,62,84,955.00,19.10,
7,48,965,74,85,965.00,20.10,
8,47,974,86,86,974.00,20.72,
10,42,978,108,87,978.00,23.29,
22,45,1045,223,93,1045.00,23.22,
4,56,1065,38,95,1065.00,19.02,
5,60,1077,50,96,1077.00,17.95,
16,54,1107,165,99,1107.00,20.50,
25,52,1135,259,102,1135.00,21.83,
13,64,1153,136,104,1153.00,18.02,
11,75,1184,120,107,1184.00,15.79,
21,80,1208,211,109,1208.00,15.10,
20,100,1232,199,111,1232.00,12.32,
