totalRuntime,timeSliceValue,contextSwitchValue,
4733,40,1,
processID,timeTaken,timeCompleted,
2, 24, 65,
11, 16, 409,
17, 25, 639,
18, 40, 679,
20, 36, 756,
21, 10, 766,
27, 4, 975,
28, 23, 998,
30, 5, 1044,
34, 39, 1206,
35, 31, 1237,
36, 15, 1252,
39, 1, 1335,
40, 35, 1370,
43, 30, 1482,
44, 40, 1522,
47, 38, 1642,
51, 3, 1768,
52, 32, 1800,
55, 28, 1910,
57, 20, 1971,
58, 2, 1973,
63, 34, 2171,
65, 37, 2249,
75, 8, 2626,
79, 37, 2786,
81, 9, 2836,
82, 33, 2869,
83, 39, 2908,
84, 30, 2938,
94, 12, 3319,
99, 27, 3510,
100, 6, 3516,
1, 3525, 3525,
3, 3487, 3552,
4, 3451, 3557,
5, 3417, 3564,
6, 3398, 3586,
7, 3368, 3597,
8, 3343, 3613,
9, 3325, 3636,
10, 3305, 3657,
12, 3278, 3687,
13, 3273, 3723,
14, 3263, 3754,
15, 3230, 3762,
16, 3223, 3796,
19, 3141, 3820,
22, 3056, 3822,
23, 3030, 3837,
24, 2992, 3840,
25, 2955, 3844,
26, 2931, 3861,
31, 2897, 3941,
32, 2865, 3950,
33, 2836, 3962,
37, 2723, 3975,
38, 2714, 4007,
41, 2645, 4015,
42, 2630, 4041,
45, 2533, 4055,
48, 2469, 4111,
50, 2429, 4153,
53, 2368, 4168,
54, 2338, 4179,
59, 2253, 4226,
60, 2237, 4251,
61, 2212, 4267,
62, 2199, 4295,
64, 2138, 4309,
66, 2089, 4338,
67, 2066, 4356,
68, 2030, 4361,
70, 1999, 4412,
71, 1978, 4432,
72, 1943, 4438,
73, 1905, 4441,
74, 1868, 4445,
76, 1829, 4455,
77, 1805, 4472,
78, 1804, 4512,
80, 1738, 4524,
85, 1593, 4531,
86, 1559, 4538,
87, 1519, 4539,
88, 1498, 4559,
89, 1475, 4577,
90, 1440, 4583,
91, 1418, 4602,
92, 1387, 4612,
93, 1370, 4636,
95, 1319, 4638,
96, 1280, 4640,
97, 1252, 4653,
98, 1230, 4672,
29, 3690, 4688,
46, 3145, 4708,
49, 3028, 4711,
56, 2811, 4721,
69, 2361, 4733,
