totalRuntime,timeSliceValue,contextSwitchValue,
4919,15,1,
processID,timeTaken,timeCompleted,
21, 10, 330,
27, 4, 414,
30, 5, 451,
36, 15, 546,
39, 1, 579,
51, 3, 758,
58, 2, 856,
75, 8, 1120,
81, 9, 1209,
94, 12, 1413,
100, 6, 1499,
2, 1508, 1524,
11, 1493, 1653,
17, 1487, 1743,
28, 1465, 1879,
43, 1443, 2070,
55, 1437, 2243,
57, 1426, 2264,
84, 1406, 2647,
99, 1390, 2867,
4, 2866, 2914,
18, 2828, 3100,
20, 2818, 3122,
22, 2804, 3134,
24, 2801, 3163,
25, 2799, 3177,
34, 2767, 3266,
35, 2752, 3267,
40, 2725, 3304,
44, 2703, 3346,
47, 2695, 3386,
50, 2690, 3429,
52, 2673, 3431,
63, 2627, 3547,
65, 2618, 3570,
68, 2617, 3617,
73, 2614, 3694,
74, 2612, 3708,
79, 2595, 3763,
82, 2573, 3782,
83, 2566, 3791,
87, 2545, 3834,
95, 2529, 3942,
96, 2525, 3954,
1, 3990, 3990,
5, 3944, 4008,
7, 3934, 4030,
8, 3929, 4041,
15, 3900, 4124,
23, 3820, 4166,
26, 3784, 4178,
32, 3747, 4214,
33, 3738, 4221,
37, 3683, 4229,
41, 3653, 4248,
45, 3614, 4273,
48, 3592, 4299,
53, 3551, 4325,
54, 3541, 4331,
59, 3492, 4348,
61, 3487, 4375,
64, 3464, 4400,
67, 3445, 4429,
70, 3418, 4450,
71, 3417, 4465,
72, 3402, 4466,
76, 3351, 4471,
77, 3347, 4483,
80, 3322, 4506,
85, 3251, 4508,
86, 3237, 4510,
88, 3220, 4525,
89, 3217, 4538,
90, 3202, 4539,
91, 3200, 4553,
92, 3189, 4558,
97, 3137, 4582,
98, 3135, 4596,
3, 4571, 4603,
6, 4525, 4605,
9, 4480, 4608,
10, 4465, 4609,
12, 4443, 4619,
14, 4438, 4646,
16, 4420, 4660,
19, 4376, 4664,
38, 4146, 4708,
42, 4103, 4714,
60, 3895, 4767,
62, 3871, 4775,
66, 3816, 4784,
93, 3435, 4820,
13, 4629, 4821,
31, 4390, 4841,
49, 4142, 4865,
56, 4058, 4880,
78, 3749, 4901,
29, 4477, 4907,
46, 4242, 4917,
69, 3903, 4919,
