totalRuntime,timeSliceValue,contextSwitchValue,
6148,3,1,
processID,timeTaken,timeCompleted,
39, 1, 153,
51, 3, 200,
58, 2, 226,
27, 395, 499,
30, 393, 509,
100, 386, 776,
75, 764, 1054,
81, 763, 1077,
21, 1150, 1230,
94, 1127, 1493,
36, 1504, 1644,
11, 1873, 1913,
57, 2203, 2423,
2, 2578, 2582,
28, 2564, 2672,
17, 2913, 2977,
99, 2870, 3256,
43, 3226, 3391,
55, 3220, 3432,
84, 3205, 3531,
35, 3556, 3692,
52, 3542, 3742,
82, 3523, 3841,
20, 3888, 3964,
40, 3861, 4014,
63, 3837, 4079,
34, 4170, 4302,
47, 4151, 4332,
65, 4127, 4377,
79, 4120, 4426,
83, 4111, 4433,
18, 4474, 4542,
22, 4465, 4549,
44, 4429, 4598,
50, 4423, 4616,
87, 4372, 4710,
95, 4367, 4737,
96, 4366, 4740,
4, 4747, 4759,
24, 4720, 4812,
25, 4718, 4814,
68, 4647, 4909,
73, 4644, 4926,
74, 4642, 4928,
5, 4978, 4994,
15, 4973, 5029,
41, 4915, 5072,
59, 4879, 5105,
72, 4864, 5142,
85, 4830, 5160,
86, 4828, 5162,
90, 4821, 5171,
1, 5192, 5192,
7, 5179, 5203,
32, 5128, 5252,
54, 5083, 5291,
70, 5055, 5325,
76, 5037, 5331,
92, 4999, 5357,
33, 5298, 5426,
37, 5284, 5428,
45, 5266, 5439,
64, 5228, 5474,
80, 5189, 5499,
97, 5139, 5517,
8, 5503, 5531,
23, 5472, 5560,
26, 5463, 5563,
48, 5399, 5584,
53, 5385, 5589,
61, 5365, 5599,
77, 5324, 5622,
67, 5465, 5723,
71, 5456, 5730,
88, 5395, 5737,
89, 5392, 5738,
91, 5386, 5740,
98, 5364, 5746,
6, 5732, 5752,
9, 5723, 5755,
10, 5720, 5756,
19, 5777, 5849,
42, 5703, 5864,
60, 5648, 5878,
93, 5533, 5895,
3, 5888, 5896,
62, 5700, 5938,
66, 5687, 5941,
12, 5906, 5950,
14, 5904, 5956,
38, 5823, 5971,
16, 5937, 5997,
13, 5978, 6026,
31, 5939, 6059,
78, 5775, 6077,
49, 5898, 6087,
56, 5906, 6122,
69, 5870, 6136,
29, 6027, 6139,
46, 5971, 6148,
