totalRuntime,timeSliceValue,contextSwitchValue,
4683,60,1,
processID,timeTaken,timeCompleted,
1, 49, 49,
2, 24, 73,
4, 45, 179,
5, 47, 226,
7, 51, 338,
8, 56, 394,
11, 16, 532,
15, 48, 763,
17, 25, 849,
18, 40, 889,
20, 36, 986,
21, 10, 996,
22, 42, 1038,
23, 55, 1093,
24, 43, 1136,
25, 44, 1180,
26, 57, 1237,
27, 4, 1241,
28, 23, 1264,
30, 5, 1330,
32, 49, 1440,
33, 52, 1492,
34, 39, 1531,
35, 31, 1562,
36, 15, 1577,
37, 53, 1630,
39, 1, 1692,
40, 35, 1727,
41, 48, 1775,
43, 30, 1866,
44, 40, 1906,
45, 54, 1960,
47, 38, 2059,
48, 55, 2114,
50, 41, 2216,
51, 3, 2219,
52, 32, 2251,
53, 55, 2306,
54, 51, 2357,
55, 28, 2385,
57, 20, 2466,
58, 2, 2468,
59, 46, 2514,
61, 56, 2631,
63, 34, 2726,
64, 54, 2780,
65, 37, 2817,
67, 58, 2936,
68, 45, 2981,
70, 50, 3092,
71, 60, 3152,
72, 46, 3198,
73, 43, 3241,
74, 44, 3285,
75, 8, 3293,
76, 50, 3343,
77, 57, 3400,
79, 37, 3498,
80, 52, 3550,
81, 9, 3559,
82, 33, 3592,
83, 39, 3631,
84, 30, 3661,
85, 47, 3708,
86, 47, 3755,
87, 41, 3796,
88, 60, 3856,
89, 58, 3914,
90, 46, 3960,
91, 59, 4019,
92, 50, 4069,
94, 12, 4142,
95, 42, 4184,
96, 42, 4226,
97, 53, 4279,
98, 59, 4338,
99, 27, 4365,
100, 6, 4371,
3, 4305, 4378,
6, 4154, 4380,
9, 3989, 4383,
10, 3929, 4384,
12, 3862, 4394,
13, 3817, 4410,
14, 3767, 4421,
16, 3672, 4435,
19, 3550, 4439,
29, 3211, 4475,
31, 3164, 4494,
38, 2876, 4506,
42, 2737, 4512,
46, 2592, 4552,
49, 2461, 4575,
56, 2220, 4605,
60, 2096, 4610,
62, 1987, 4618,
66, 1810, 4627,
69, 1678, 4659,
78, 1279, 4679,
93, 614, 4683,
