totalRuntime,timeSliceValue,contextSwitchValue,
9222,1,1,
processID,timeTaken,timeCompleted,
39, 1, 77,
58, 199, 312,
51, 396, 495,
27, 592, 644,
30, 783, 841,
100, 967, 1164,
75, 1344, 1491,
81, 1529, 1688,
21, 1725, 1765,
94, 2075, 2260,
36, 2625, 2695,
11, 2810, 2830,
57, 3502, 3613,
28, 4032, 4086,
2, 4211, 4213,
17, 4378, 4410,
99, 4690, 4885,
55, 4867, 4974,
43, 5198, 5281,
84, 5185, 5350,
35, 5363, 5431,
52, 5513, 5614,
82, 5658, 5819,
63, 5817, 5940,
40, 5982, 6059,
20, 6146, 6184,
65, 6264, 6391,
79, 6261, 6416,
47, 6422, 6513,
34, 6574, 6640,
83, 6540, 6703,
18, 6724, 6758,
44, 6702, 6787,
50, 6833, 6930,
87, 6806, 6977,
22, 6986, 7028,
95, 6932, 7119,
96, 6931, 7120,
24, 7111, 7157,
73, 7073, 7216,
25, 7231, 7279,
74, 7191, 7336,
4, 7363, 7369,
68, 7309, 7442,
59, 7426, 7541,
72, 7419, 7560,
90, 7400, 7577,
5, 7584, 7592,
85, 7508, 7675,
86, 7507, 7676,
15, 7683, 7711,
41, 7653, 7732,
1, 7789, 7789,
32, 7758, 7820,
70, 7812, 7949,
76, 7803, 7952,
92, 7784, 7965,
7, 7964, 7976,
54, 7914, 8019,
33, 8020, 8084,
80, 7966, 8123,
37, 8092, 8164,
97, 8018, 8209,
45, 8157, 8244,
64, 8136, 8261,
23, 8260, 8304,
48, 8224, 8317,
53, 8217, 8320,
8, 8341, 8355,
61, 8269, 8388,
26, 8381, 8431,
77, 8307, 8458,
67, 8378, 8509,
89, 8343, 8518,
91, 8392, 8571,
98, 8381, 8574,
71, 8476, 8615,
88, 8445, 8618,
10, 8609, 8627,
6, 8656, 8666,
9, 8691, 8707,
19, 8718, 8754,
93, 8596, 8779,
60, 8687, 8804,
42, 8748, 8829,
3, 8840, 8844,
62, 8772, 8893,
66, 8791, 8920,
12, 8903, 8925,
14, 8924, 8950,
38, 8903, 8977,
16, 8978, 9008,
13, 9015, 9039,
31, 9024, 9084,
78, 8952, 9105,
49, 9035, 9130,
56, 9078, 9187,
69, 9065, 9200,
29, 9157, 9213,
46, 9133, 9222,
