totalRuntime,timeSliceValue,contextSwitchValue,
4661,100,1,
processID,timeTaken,timeCompleted,
1, 49, 49,
2, 24, 73,
3, 67, 140,
4, 45, 185,
5, 47, 232,
6, 62, 294,
7, 51, 345,
8, 56, 401,
9, 63, 464,
10, 61, 525,
11, 16, 541,
12, 70, 611,
13, 76, 687,
14, 71, 758,
15, 48, 806,
16, 74, 880,
17, 25, 905,
18, 40, 945,
19, 64, 1009,
20, 36, 1045,
21, 10, 1055,
22, 42, 1097,
23, 55, 1152,
24, 43, 1195,
25, 44, 1239,
26, 57, 1296,
27, 4, 1300,
28, 23, 1323,
29, 96, 1419,
30, 5, 1424,
31, 79, 1503,
32, 49, 1552,
33, 52, 1604,
34, 39, 1643,
35, 31, 1674,
36, 15, 1689,
37, 53, 1742,
38, 72, 1814,
39, 1, 1815,
40, 35, 1850,
41, 48, 1898,
42, 66, 1964,
43, 30, 1994,
44, 40, 2034,
45, 54, 2088,
46, 100, 2188,
47, 38, 2226,
48, 55, 2281,
49, 83, 2364,
50, 41, 2405,
51, 3, 2408,
52, 32, 2440,
53, 55, 2495,
54, 51, 2546,
55, 28, 2574,
56, 90, 2664,
57, 20, 2684,
58, 2, 2686,
59, 46, 2732,
60, 65, 2797,
61, 56, 2853,
62, 68, 2921,
63, 34, 2955,
64, 54, 3009,
65, 37, 3046,
66, 69, 3115,
67, 58, 3173,
68, 45, 3218,
69, 92, 3310,
70, 50, 3360,
71, 60, 3420,
72, 46, 3466,
73, 43, 3509,
74, 44, 3553,
75, 8, 3561,
76, 50, 3611,
77, 57, 3668,
78, 80, 3748,
79, 37, 3785,
80, 52, 3837,
81, 9, 3846,
82, 33, 3879,
83, 39, 3918,
84, 30, 3948,
85, 47, 3995,
86, 47, 4042,
87, 41, 4083,
88, 60, 4143,
89, 58, 4201,
90, 46, 4247,
91, 59, 4306,
92, 50, 4356,
93, 64, 4420,
94, 12, 4432,
95, 42, 4474,
96, 42, 4516,
97, 53, 4569,
98, 59, 4628,
99, 27, 4655,
100, 6, 4661,
