totalRuntime,timeSliceValue,contextSwitchValue,
5531,5,1,
processID,timeTaken,timeCompleted,
27, 4, 160,
30, 5, 177,
39, 1, 226,
51, 3, 295,
58, 2, 333,
21, 590, 710,
75, 572, 1001,
81, 570, 1035,
100, 565, 1144,
36, 1134, 1341,
94, 1112, 1655,
11, 1686, 1746,
57, 1660, 1985,
2, 2217, 2223,
17, 2210, 2306,
28, 2197, 2357,
43, 2688, 2932,
55, 2682, 2995,
84, 2661, 3144,
99, 2651, 3224,
35, 3186, 3387,
40, 3178, 3404,
52, 3165, 3460,
63, 3149, 3506,
82, 3134, 3605,
18, 3676, 3778,
20, 3671, 3785,
34, 3648, 3843,
44, 3622, 3872,
47, 3619, 3887,
65, 3586, 3955,
79, 3576, 4029,
83, 3562, 4039,
4, 4116, 4134,
22, 4082, 4208,
24, 4079, 4217,
25, 4077, 4221,
50, 4014, 4300,
68, 3978, 4365,
73, 3975, 4392,
74, 3973, 4396,
87, 3932, 4433,
95, 3922, 4471,
96, 3918, 4473,
1, 4489, 4489,
5, 4473, 4497,
15, 4464, 4548,
32, 4405, 4588,
41, 4377, 4609,
59, 4325, 4658,
70, 4306, 4705,
72, 4301, 4712,
76, 4282, 4717,
85, 4248, 4737,
86, 4244, 4739,
90, 4233, 4752,
92, 4232, 4763,
7, 4758, 4794,
23, 4715, 4847,
33, 4678, 4867,
37, 4657, 4870,
45, 4630, 4886,
48, 4623, 4897,
53, 4607, 4908,
54, 4602, 4909,
64, 4574, 4937,
80, 4516, 4975,
97, 4441, 5002,
8, 4979, 5021,
26, 4915, 5065,
61, 4769, 5114,
67, 4748, 5129,
71, 4735, 5140,
77, 4701, 5142,
88, 4646, 5153,
89, 4643, 5156,
91, 4635, 5160,
98, 4603, 5170,
6, 5148, 5178,
9, 5133, 5181,
10, 5128, 5182,
19, 5102, 5210,
60, 4918, 5257,
93, 4748, 5285,
3, 5275, 5287,
12, 5226, 5292,
42, 5091, 5329,
62, 4999, 5350,
66, 4979, 5354,
14, 5295, 5373,
16, 5287, 5377,
38, 5172, 5391,
13, 5350, 5422,
31, 5255, 5432,
78, 5014, 5461,
49, 5196, 5476,
56, 5186, 5505,
69, 5132, 5525,
29, 5360, 5526,
46, 5269, 5531,
