totalRuntime,timeSliceValue,contextSwitchValue,
5070,10,1,
processID,timeTaken,timeCompleted,
21, 10, 230,
27, 4, 289,
30, 5, 316,
39, 1, 405,
51, 3, 529,
58, 2, 597,
75, 8, 781,
81, 9, 845,
100, 6, 1049,
11, 1055, 1165,
36, 1030, 1401,
57, 1025, 1609,
94, 997, 1974,
2, 2033, 2044,
17, 2016, 2192,
28, 1994, 2283,
43, 1976, 2414,
55, 1970, 2532,
84, 1939, 2806,
99, 1924, 2956,
18, 2933, 3120,
20, 2928, 3137,
34, 2896, 3245,
35, 2886, 3246,
40, 2868, 3273,
44, 2856, 3305,
47, 2853, 3335,
52, 2841, 3370,
63, 2810, 3451,
65, 2806, 3469,
79, 2794, 3608,
82, 2777, 3622,
83, 2775, 3631,
1, 3783, 3783,
4, 3766, 3799,
5, 3762, 3806,
15, 3748, 3902,
22, 3696, 3926,
24, 3688, 3940,
25, 3681, 3944,
32, 3659, 3986,
41, 3611, 4027,
50, 3568, 4083,
59, 3525, 4122,
68, 3497, 4193,
70, 3496, 4214,
72, 3491, 4231,
73, 3483, 4234,
74, 3476, 4238,
76, 3467, 4248,
85, 3410, 4288,
86, 3406, 4295,
87, 3396, 4296,
90, 3391, 4324,
92, 3390, 4345,
95, 3370, 4358,
96, 3361, 4360,
7, 4339, 4405,
8, 4334, 4411,
23, 4252, 4493,
26, 4226, 4500,
33, 4186, 4524,
37, 4145, 4527,
45, 4093, 4553,
48, 4076, 4569,
53, 4045, 4585,
54, 4035, 4586,
61, 3995, 4614,
64, 3977, 4629,
67, 3963, 4648,
71, 3940, 4669,
77, 3884, 4676,
80, 3864, 4689,
88, 3788, 4699,
89, 3785, 4707,
91, 3772, 4716,
97, 3720, 4730,
98, 3718, 4739,
3, 4724, 4746,
6, 4693, 4748,
9, 4663, 4751,
10, 4653, 4752,
12, 4641, 4762,
19, 4601, 4799,
42, 4411, 4838,
60, 4268, 4876,
62, 4254, 4884,
66, 4219, 4893,
93, 3953, 4919,
13, 4793, 4925,
14, 4783, 4926,
16, 4765, 4930,
31, 4634, 4950,
38, 4559, 4952,
78, 4203, 5006,
49, 4527, 5031,
56, 4468, 5041,
29, 4758, 5058,
46, 4597, 5068,
69, 4363, 5070,
