totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
2028,1010,2,2,509,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,TAT,NTAT,
19,1,3,2,1,3.00,3.00,
12,2,7,5,2,7.00,3.50,
14,3,14,9,4,14.00,4.67,
17,5,25,16,7,25.00,5.00,
9,8,41,27,11,41.00,5.13,
18,10,61,43,16,61.00,6.10,
23,24,109,63,28,109.00,4.54,
3,27,164,111,42,164.00,6.07,
1,32,228,166,58,228.00,7.13,
15,36,300,230,76,300.00,8.33,
24,40,380,302,96,380.00,9.50,
10,42,464,382,117,464.00,11.05,
22,45,555,466,140,555.00,12.33,
8,47,650,557,164,650.00,13.83,
7,48,746,652,188,746.00,15.54,
2,49,845,748,213,845.00,17.24,
6,50,945,847,238,945.00,18.90,
25,52,1049,947,264,1049.00,20.17,
16,54,1157,1051,291,1157.00,21.43,
4,56,1269,1159,319,1269.00,22.66,
5,60,1389,1271,349,1389.00,23.15,
13,64,1517,1391,381,1517.00,23.70,
11,75,1668,1519,419,1668.00,22.24,
21,80,1828,1670,459,1828.00,22.85,
20,100,2028,1830,509,2028.00,20.28,
