totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
1116,1010,25,2,53,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,TAT,NTAT,
19,1,3,2,1,3.00,3.00,
12,2,7,5,2,7.00,3.50,
14,3,12,9,3,12.00,4.00,
17,5,19,14,4,19.00,3.80,
9,8,29,21,5,29.00,3.63,
18,10,41,31,6,41.00,4.10,
23,24,67,43,7,67.00,2.79,
3,27,98,69,9,98.00,3.63,
1,32,134,100,11,134.00,4.19,
15,36,174,136,13,174.00,4.83,
24,40,218,176,15,218.00,5.45,
10,42,264,220,17,264.00,6.29,
22,45,313,266,19,313.00,6.96,
8,47,364,315,21,364.00,7.74,
7,48,416,366,23,416.00,8.67,
2,49,469,418,25,469.00,9.57,
6,50,523,471,27,523.00,10.46,
25,52,581,525,30,581.00,11.17,
16,54,641,583,33,641.00,11.87,
4,56,703,643,36,703.00,12.55,
5,60,769,705,39,769.00,12.82,
13,64,839,771,42,839.00,13.11,
11,75,920,841,45,920.00,12.27,
21,80,1008,922,49,1008.00,12.60,
20,100,1116,1010,53,1116.00,11.16,
