totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
1232,1010,10,2,111,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,TAT,NTAT,
19,1,3,2,1,3.00,3.00,
12,2,7,5,2,7.00,3.50,
14,3,12,9,3,12.00,4.00,
17,5,19,14,4,19.00,3.80,
9,8,29,21,5,29.00,3.63,
18,10,41,31,6,41.00,4.10,
23,24,71,43,9,71.00,2.96,
3,27,104,73,12,104.00,3.85,
1,32,144,106,16,144.00,4.50,
15,36,188,146,20,188.00,5.22,
24,40,236,190,24,236.00,5.90,
10,42,288,238,29,288.00,6.86,
22,45,343,290,34,343.00,7.62,
8,47,400,345,39,400.00,8.51,
7,48,458,402,44,458.00,9.54,
2,49,517,460,49,517.00,10.55,
6,50,577,519,54,577.00,11.54,
25,52,641,579,60,641.00,12.33,
16,54,707,643,66,707.00,13.09,
4,56,775,709,72,775.00,13.84,
5,60,847,777,78,847.00,14.12,
13,64,925,849,85,925.00,14.45,
11,75,1016,927,93,1016.00,13.55,
21,80,1112,1018,101,1112.00,13.90,
20,100,1232,1114,111,1232.00,12.32,
