totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
1430,1010,5,2,210,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,TAT,NTAT,
19,1,3,2,1,3.00,3.00,
12,2,7,5,2,7.00,3.50,
14,3,12,9,3,12.00,4.00,
17,5,19,14,4,19.00,3.80,
9,8,31,21,6,31.00,3.88,
18,10,45,33,8,45.00,4.50,
23,24,79,47,13,79.00,3.29,
3,27,118,81,19,118.00,4.37,
1,32,164,120,26,164.00,5.13,
15,36,216,166,34,216.00,6.00,
24,40,272,218,42,272.00,6.80,
10,42,332,274,51,332.00,7.90,
22,45,395,334,60,395.00,8.78,
8,47,462,397,70,462.00,9.83,
7,48,530,464,80,530.00,11.04,
2,49,599,532,90,599.00,12.22,
6,50,669,601,100,669.00,13.38,
25,52,743,671,111,743.00,14.29,
16,54,819,745,122,819.00,15.17,
4,56,899,821,134,899.00,16.05,
5,60,983,901,146,983.00,16.38,
13,64,1073,985,159,1073.00,16.77,
11,75,1178,1075,174,1178.00,15.71,
21,80,1290,1180,190,1290.00,16.13,
20,100,1430,1292,210,1430.00,14.30,
