totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
1698,1010,3,2,344,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,TAT,NTAT,
19,1,3,2,1,3.00,3.00,
12,2,7,5,2,7.00,3.50,
14,3,12,9,3,12.00,4.00,
17,5,21,14,5,21.00,4.20,
9,8,35,23,8,35.00,4.38,
18,10,53,37,12,53.00,5.30,
23,24,93,55,20,93.00,3.88,
3,27,138,95,29,138.00,5.11,
1,32,192,140,40,192.00,6.00,
15,36,252,194,52,252.00,7.00,
24,40,320,254,66,320.00,8.00,
10,42,390,322,80,390.00,9.29,
22,45,465,392,95,465.00,10.33,
8,47,544,467,111,544.00,11.57,
7,48,624,546,127,624.00,13.00,
2,49,707,626,144,707.00,14.43,
6,50,791,709,161,791.00,15.82,
25,52,879,793,179,879.00,16.90,
16,54,969,881,197,969.00,17.94,
4,56,1063,971,216,1063.00,18.98,
5,60,1163,1065,236,1163.00,19.38,
13,64,1271,1165,258,1271.00,19.86,
11,75,1396,1273,283,1396.00,18.61,
21,80,1530,1398,310,1530.00,19.13,
20,100,1698,1532,344,1698.00,16.98,
