totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
1170,1010,15,2,80,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,TAT,NTAT,
19,1,3,2,1,3.00,3.00,
12,2,7,5,2,7.00,3.50,
14,3,12,9,3,12.00,4.00,
17,5,19,14,4,19.00,3.80,
9,8,29,21,5,29.00,3.63,
18,10,41,31,6,41.00,4.10,
23,24,69,43,8,69.00,2.88,
3,27,100,71,10,100.00,3.70,
1,32,138,102,13,138.00,4.31,
15,36,180,140,16,180.00,5.00,
24,40,226,182,19,226.00,5.65,
10,42,274,228,22,274.00,6.52,
22,45,325,276,25,325.00,7.22,
8,47,380,327,29,380.00,8.09,
7,48,436,382,33,436.00,9.08,
2,49,493,438,37,493.00,10.06,
6,50,551,495,41,551.00,11.02,
25,52,611,553,45,611.00,11.75,
16,54,673,613,49,673.00,12.46,
4,56,737,675,53,737.00,13.16,
5,60,805,739,57,805.00,13.42,
13,64,879,807,62,879.00,13.73,
11,75,964,881,67,964.00,12.85,
21,80,1056,966,73,1056.00,13.20,
20,100,1170,1058,80,1170.00,11.70,
