totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
1116,1010,25,2,53,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,TAT,NTAT,
17,5,115,110,5,115.00,23.00,
3,27,146,2,7,146.00,5.41,
10,42,192,56,9,192.00,4.57,
4,56,254,29,12,254.00,4.54,
16,54,260,83,13,260.00,4.81,
25,52,264,117,14,264.00,5.08,
9,8,328,320,17,328.00,41.00,
19,1,331,330,18,331.00,331.00,
6,50,412,266,21,412.00,8.24,
8,47,436,293,22,436.00,9.28,
24,40,480,360,24,480.00,12.00,
21,80,514,333,26,514.00,6.43,
12,2,599,597,30,599.00,299.50,
18,10,638,628,32,638.00,63.80,
2,49,691,516,34,691.00,14.10,
15,36,758,601,37,758.00,21.06,
22,45,780,640,38,780.00,17.33,
5,60,792,543,39,792.00,13.20,
11,75,819,570,40,819.00,10.92,
14,3,905,902,44,905.00,301.67,
23,24,958,934,46,958.00,39.92,
1,32,967,821,47,967.00,30.22,
7,48,992,848,48,992.00,20.67,
13,64,1062,875,51,1062.00,16.59,
20,100,1116,907,53,1116.00,11.16,
