totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
2028,1010,2,2,509,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,TAT,NTAT,
17,5,67,18,17,67.00,13.40,
3,27,274,2,69,274.00,10.15,
10,42,394,10,99,394.00,9.38,
25,52,462,22,116,462.00,8.88,
16,54,470,14,118,470.00,8.70,
4,56,474,6,119,474.00,8.46,
19,1,489,488,123,489.00,489.00,
9,8,549,484,138,549.00,68.63,
24,40,813,495,204,813.00,20.33,
8,47,856,480,215,856.00,18.21,
6,50,864,476,217,864.00,17.28,
21,80,928,491,233,928.00,11.60,
12,2,944,942,237,944.00,472.00,
18,10,1048,950,263,1048.00,104.80,
15,36,1308,946,328,1308.00,36.33,
22,45,1391,954,349,1391.00,30.91,
2,49,1406,930,353,1406.00,28.69,
5,60,1450,934,364,1450.00,24.17,
11,75,1485,938,373,1485.00,19.80,
14,3,1524,1499,383,1524.00,508.00,
23,24,1732,1507,435,1732.00,72.17,
1,32,1784,1487,448,1784.00,55.75,
7,48,1884,1491,473,1884.00,39.25,
13,64,1952,1495,490,1952.00,30.50,
20,100,2028,1503,509,2028.00,20.28,
