totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
1232,1010,10,2,111,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,TAT,NTAT,
17,5,55,50,5,55.00,11.00,
3,27,136,2,12,136.00,5.04,
10,42,248,26,22,248.00,5.90,
4,56,280,14,25,280.00,5.00,
16,54,286,38,26,286.00,5.30,
25,52,290,57,27,290.00,5.58,
9,8,324,316,30,324.00,40.50,
19,1,327,326,31,327.00,327.00,
24,40,495,341,45,495.00,12.38,
6,50,507,292,46,507.00,10.14,
8,47,516,304,47,516.00,10.98,
21,80,564,329,51,564.00,7.05,
12,2,604,602,55,604.00,302.00,
18,10,628,618,57,628.00,62.80,
15,36,804,606,72,804.00,22.33,
2,49,827,566,74,827.00,16.88,
22,45,858,630,77,858.00,19.07,
5,60,870,578,78,870.00,14.50,
11,75,901,590,81,901.00,12.01,
14,3,942,939,85,942.00,314.00,
23,24,1080,956,97,1080.00,45.00,
1,32,1084,903,98,1084.00,33.88,
7,48,1130,915,102,1130.00,23.54,
13,64,1184,927,107,1184.00,18.50,
20,100,1232,944,111,1232.00,12.32,
