totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
1170,1010,15,2,80,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,TAT,NTAT,
17,5,75,70,5,75.00,15.00,
3,27,106,2,7,106.00,3.93,
10,42,205,36,13,205.00,4.88,
4,56,252,19,16,252.00,4.50,
16,54,263,53,17,263.00,4.87,
25,52,272,77,18,272.00,5.23,
9,8,316,308,21,316.00,39.50,
19,1,319,318,22,319.00,319.00,
24,40,484,338,32,484.00,12.10,
6,50,491,274,33,491.00,9.82,
8,47,495,291,34,495.00,10.53,
21,80,536,321,37,536.00,6.70,
12,2,591,589,41,591.00,295.50,
18,10,620,610,43,620.00,62.00,
15,36,781,593,53,781.00,21.69,
22,45,798,622,54,798.00,17.73,
2,49,804,538,55,804.00,16.41,
5,60,821,555,56,821.00,13.68,
11,75,855,572,58,855.00,11.40,
14,3,911,908,62,911.00,303.67,
23,24,1024,930,69,1024.00,42.67,
1,32,1028,857,70,1028.00,32.13,
7,48,1084,874,74,1084.00,22.58,
13,64,1124,891,77,1124.00,17.56,
20,100,1170,913,80,1170.00,11.70,
