totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
1430,1010,5,2,210,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,TAT,NTAT,
17,5,35,30,5,35.00,7.00,
3,27,186,2,27,186.00,6.89,
10,42,281,16,41,281.00,6.69,
16,54,329,23,48,329.00,6.09,
25,52,333,37,49,333.00,6.40,
4,56,336,9,50,336.00,6.00,
19,1,360,359,54,360.00,360.00,
9,8,393,352,59,393.00,49.13,
24,40,575,369,85,575.00,14.38,
6,50,603,338,89,603.00,12.06,
8,47,607,345,90,607.00,12.91,
21,80,656,362,97,656.00,8.20,
12,2,681,679,101,681.00,340.50,
18,10,737,690,109,737.00,73.70,
15,36,943,683,139,943.00,26.19,
22,45,978,697,144,978.00,21.73,
2,49,984,658,145,984.00,20.08,
5,60,1019,665,150,1019.00,16.98,
11,75,1047,672,154,1047.00,13.96,
14,3,1073,1070,158,1073.00,357.67,
23,24,1226,1082,180,1226.00,51.08,
1,32,1258,1049,185,1258.00,39.31,
7,48,1326,1056,195,1326.00,27.63,
13,64,1374,1063,202,1374.00,21.47,
20,100,1430,1075,210,1430.00,14.30,
