totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
3030,1010,1,2,1010,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,TAT,NTAT,
17,5,87,14,29,87.00,17.40,
3,27,408,2,136,408.00,15.11,
10,42,594,8,198,594.00,14.14,
25,52,690,17,230,690.00,13.27,
16,54,702,11,234,702.00,13.00,
4,56,708,5,236,708.00,12.64,
19,1,720,719,240,720.00,720.00,
9,8,825,716,275,825.00,103.13,
24,40,1215,725,405,1215.00,30.38,
8,47,1275,713,425,1275.00,27.13,
6,50,1293,710,431,1293.00,25.86,
21,80,1386,722,462,1386.00,17.33,
12,2,1419,1397,473,1419.00,709.50,
18,10,1569,1403,523,1569.00,156.90,
15,36,1959,1400,653,1959.00,54.42,
22,45,2070,1406,690,2070.00,46.00,
2,49,2100,1388,700,2100.00,42.86,
5,60,2169,1391,723,2169.00,36.15,
11,75,2217,1394,739,2217.00,29.56,
14,3,2265,2228,755,2265.00,755.00,
23,24,2586,2234,862,2586.00,107.75,
1,32,2673,2219,891,2673.00,83.53,
7,48,2820,2222,940,2820.00,58.75,
13,64,2919,2225,973,2919.00,45.61,
20,100,3030,2231,1010,3030.00,30.30,
