totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
1116,1010,25,2,53,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,
1,1,3,2,1,
2,2,7,5,2,
3,3,12,9,3,
4,5,19,14,4,
5,8,29,21,5,
6,10,41,31,6,
7,24,67,43,7,
8,27,557,69,26,
9,32,566,96,27,
10,36,579,123,28,
11,40,596,150,29,
12,42,615,177,30,
13,45,637,204,31,
14,47,661,231,32,
15,48,686,258,33,
16,49,712,285,34,
17,50,739,312,35,
18,52,959,339,44,
19,54,965,366,45,
20,56,973,393,46,
21,60,985,420,47,
22,64,1001,447,48,
23,75,1028,474,49,
24,80,1089,501,52,
25,100,1116,528,53,
