totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
2028,961,2,2,509,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,
1,1,1,0,1,
2,2,2,0,2,
3,3,93,90,26,
4,5,180,175,49,
5,8,264,256,71,
6,10,344,334,92,
7,24,876,852,226,
8,27,1019,992,263,
9,32,1155,1123,298,
10,36,1283,1247,331,
11,40,1403,1363,362,
12,42,1459,1417,377,
13,45,1562,1517,404,
14,47,1609,1562,417,
15,48,1609,1561,418,
16,49,1648,1599,429,
17,50,1648,1598,430,
18,52,1680,1628,439,
19,54,1708,1654,447,
20,56,1732,1676,454,
21,60,1772,1712,465,
22,64,1804,1740,474,
23,75,1875,1800,493,
24,80,1891,1811,498,
25,100,1931,1831,509,
