totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
1170,1010,15,2,80,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,
1,1,3,2,1,
2,2,7,5,2,
3,3,12,9,3,
4,5,19,14,4,
5,8,29,21,5,
6,10,41,31,6,
7,24,375,43,26,
8,27,389,60,27,
9,32,682,77,45,
10,36,690,94,46,
11,40,702,111,47,
12,42,716,128,48,
13,45,733,145,49,
14,47,941,162,62,
15,48,946,179,63,
16,49,952,196,64,
17,50,959,213,65,
18,52,968,230,66,
19,54,979,247,67,
20,56,992,264,68,
21,60,1009,281,69,
22,64,1083,298,74,
23,75,1100,315,75,
24,80,1141,332,78,
25,100,1170,349,80,
