totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
1430,1010,5,2,210,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,
1,1,3,2,1,
2,2,7,5,2,
3,3,12,9,3,
4,5,19,14,4,
5,8,171,21,26,
6,10,178,28,27,
7,24,583,35,85,
8,27,713,42,104,
9,32,836,49,122,
10,36,951,56,139,
11,40,958,63,140,
12,42,1060,70,155,
13,45,1067,77,156,
14,47,1155,84,169,
15,48,1160,91,170,
16,49,1166,98,171,
17,50,1173,105,172,
18,52,1233,112,181,
19,54,1239,119,182,
20,56,1284,126,189,
21,60,1291,133,190,
22,64,1325,140,195,
23,75,1374,147,202,
24,80,1395,154,205,
25,100,1430,161,210,
