totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
1170,696,15,2,80,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,
9,8,8,0,9,
12,2,2,0,12,
14,3,3,0,14,
17,5,5,0,17,
18,10,10,0,18,
19,1,1,0,19,
3,27,376,349,28,
23,24,329,305,42,
1,32,680,648,45,
10,42,650,608,52,
15,36,632,596,55,
22,45,610,565,59,
24,40,588,548,60,
2,49,924,875,62,
4,56,903,847,63,
5,60,903,843,64,
6,50,893,843,65,
7,48,881,833,66,
8,47,868,821,67,
16,54,809,755,70,
25,52,728,676,73,
11,75,929,854,74,
13,64,914,850,75,
21,80,877,797,79,
20,100,906,806,80,
