totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
3030,985,1,2,1010,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,
1,1,1,0,1,
2,2,73,71,26,
3,3,142,139,50,
4,5,274,269,95,
5,8,463,455,159,
6,10,583,573,200,
7,24,1381,1357,467,
8,27,1543,1516,522,
9,32,1798,1766,608,
10,36,1990,1954,673,
11,40,2170,2130,734,
12,42,2254,2212,763,
13,45,2371,2326,803,
14,47,2443,2396,828,
15,48,2476,2428,840,
16,49,2506,2457,851,
17,50,2533,2483,861,
18,52,2581,2529,878,
19,54,2623,2569,893,
20,56,2659,2603,906,
21,60,2719,2659,927,
22,64,2767,2703,944,
23,75,2866,2791,978,
24,80,2896,2816,989,
25,100,2956,2856,1010,
