totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
1698,938,3,2,344,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,
12,2,2,0,12,
14,3,3,0,14,
19,1,1,0,19,
17,5,115,110,40,
9,8,233,225,56,
18,10,317,307,82,
23,24,694,670,162,
3,27,816,789,167,
1,32,990,958,200,
15,36,1051,1015,226,
10,42,1215,1173,254,
24,40,1181,1141,261,
22,45,1256,1211,274,
7,48,1358,1310,280,
8,47,1357,1310,281,
2,49,1420,1371,288,
6,50,1414,1364,291,
16,54,1420,1366,302,
25,52,1390,1338,305,
4,56,1496,1440,306,
5,60,1521,1461,312,
13,64,1530,1466,322,
11,75,1584,1509,331,
21,80,1566,1486,337,
20,100,1604,1504,344,
