totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
1076,141,50,2,33,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,
1,1,1,1,1,
2,2,2,2,2,
3,3,3,3,3,
4,5,5,5,4,
5,8,8,8,5,
6,10,10,10,6,
7,24,24,24,7,
8,27,27,27,8,
9,32,32,32,9,
10,36,36,36,10,
11,40,40,40,11,
12,42,42,42,12,
13,45,45,45,13,
14,47,47,47,14,
15,48,48,48,15,
16,49,49,49,16,
17,50,50,50,17,
18,52,418,418,26,
19,54,372,372,27,
20,56,328,328,28,
21,60,288,288,29,
22,64,252,252,30,
23,75,227,227,31,
24,80,207,207,32,
25,100,207,207,33,
