totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
1232,1010,10,2,111,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,
1,1,3,2,1,
2,2,7,5,2,
3,3,12,9,3,
4,5,19,14,4,
5,8,29,21,5,
6,10,41,31,6,
7,24,503,43,45,
8,27,512,55,46,
9,32,720,67,64,
10,36,728,79,65,
11,40,740,91,66,
12,42,912,103,81,
13,45,919,115,82,
14,47,928,127,83,
15,48,938,139,84,
16,49,949,151,85,
17,50,961,163,86,
18,52,1061,175,95,
19,54,1067,187,96,
20,56,1075,199,97,
21,60,1087,211,98,
22,64,1141,223,103,
23,75,1184,235,107,
24,80,1196,247,108,
25,100,1232,259,111,
