totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
3030,985,1,2,1010,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,
19,1,1,1,19,
12,2,76,76,37,
14,3,145,145,62,
17,5,277,277,109,
9,8,475,475,167,
18,10,586,586,213,
23,24,1381,1381,483,
3,27,1564,1564,524,
1,32,1822,1822,608,
15,36,2002,2002,682,
24,40,2170,2170,747,
10,42,2278,2278,769,
22,45,2377,2377,814,
8,47,2476,2476,833,
7,48,2512,2512,844,
2,49,2548,2548,851,
6,50,2572,2572,863,
25,52,2581,2581,885,
16,54,2644,2644,897,
4,56,2707,2707,906,
5,60,2767,2767,927,
13,64,2797,2797,945,
11,75,2902,2902,978,
21,80,2908,2908,990,
20,100,2971,2971,1010,
