totalRuntime,totalProcessTime,timeSliceValue,contextSwitchValue,slicesRequired,,
2028,961,2,2,509,
processID,processTime,timeCompleted,timeWaiting,slicesTaken,
12,2,2,2,12,
19,1,1,1,19,
14,3,96,96,38,
17,5,183,183,63,
9,8,279,279,79,
18,10,347,347,105,
23,24,876,876,242,
3,27,1046,1046,265,
1,32,1186,1186,298,
15,36,1298,1298,340,
24,40,1403,1403,375,
10,42,1490,1490,383,
22,45,1570,1570,415,
7,48,1653,1653,421,
8,47,1652,1652,422,
2,49,1703,1703,429,
6,50,1699,1699,432,
25,52,1680,1680,446,
16,54,1735,1735,451,
4,56,1795,1795,454,
5,60,1835,1835,465,
13,64,1843,1843,475,
11,75,1922,1922,493,
21,80,1907,1907,499,
20,100,1951,1951,509,
